timestamp,cpu_percent,memory_usage_mb,memory_percent,response_time_ms,status
2026-05-20 17:39:10,100.48,995,97.17,196,healthy
2026-05-20 17:39:17,0.03,23.42,2.29,13,healthy
2026-05-20 17:39:22,0.01,23.5,2.29,15,healthy
2026-05-20 17:39:29,100.26,890,86.91,181,healthy
2026-05-20 17:39:35,0.02,23.31,2.28,16,healthy
2026-05-20 17:39:40,0.02,23.48,2.29,14,healthy
2026-05-20 17:39:47,100.08,876.6,85.61,114,healthy
2026-05-20 17:39:52,0.97,23.65,2.31,16,healthy
2026-05-20 17:39:58,0.02,38.57,3.77,14,healthy
2026-05-20 17:40:04,0.02,38.59,3.77,17,healthy
2026-05-20 17:40:09,86.02,840.9,82.12,57,healthy
2026-05-20 17:40:16,0.03,23.41,2.29,16,healthy
2026-05-20 17:40:21,0.02,23.49,2.29,14,healthy
2026-05-20 17:40:27,78.67,841.2,82.15,99,healthy
2026-05-20 17:40:33,0.02,23.32,2.28,19,healthy
2026-05-20 17:40:39,0.02,23.49,2.29,15,healthy
2026-05-20 17:40:45,101.03,853.1,83.31,671,healthy
2026-05-20 17:40:50,0.00,11,100.00,14,healthy
2026-05-20 17:40:56,4.25,23.72,2.32,14,healthy
2026-05-20 17:41:01,100.22,542.2,52.95,35,healthy
2026-05-20 17:41:07,0.00,19.66,1.92,15,healthy
2026-05-20 17:41:13,4.54,43.68,4.27,15,healthy
2026-05-20 17:41:19,0.01,43.7,4.27,16,healthy
2026-05-20 17:41:25,100.74,863.1,84.29,602,healthy
2026-05-20 17:41:30,0.00,11,100.00,15,healthy
2026-05-20 17:41:36,3.87,23.48,2.29,14,healthy
2026-05-20 17:41:41,100.86,477,46.58,67,healthy
2026-05-20 17:41:47,0.00,2.426,0.24,17,healthy
2026-05-20 17:41:53,4.47,23.48,2.29,14,healthy
2026-05-20 17:41:59,26.32,145.2,14.18,37,healthy
2026-05-20 17:42:04,27.28,1023,99.90,17,healthy
2026-05-20 17:42:10,0.00,23.57,2.30,14,healthy
2026-05-20 17:42:16,0.02,23.48,2.29,16,healthy
2026-05-20 17:42:22,100.09,607.3,59.31,243,healthy
2026-05-20 17:42:27,0.00,16.31,1.59,15,healthy
2026-05-20 17:42:33,4.36,23.5,2.29,15,healthy
2026-05-20 17:42:39,100.57,421.4,41.15,228,healthy
2026-05-20 17:42:46,0.00,23.32,2.28,16,healthy
2026-05-20 17:42:51,4.69,23.48,2.29,16,healthy
2026-05-20 17:42:57,100.48,702.4,68.59,21,healthy
2026-05-20 17:43:03,93.31,1013,98.93,13,unhealthy
2026-05-20 17:43:09,0.02,23.41,2.29,14,healthy
2026-05-20 17:43:14,59.49,200.6,19.59,33,healthy
2026-05-20 17:43:20,96.04,1024,100.00,54,healthy
2026-05-20 17:43:26,0.03,23.43,2.29,18,healthy
2026-05-20 17:43:31,0.35,23.51,2.30,18,healthy
2026-05-20 17:43:38,100.29,1024,100.00,47,healthy
2026-05-20 17:43:43,0.02,23.42,2.29,14,healthy
2026-05-20 17:43:49,0.02,23.5,2.29,16,healthy
